"","Accuracy","Sensitivity","Specificity","AUC"
"dtree_metrics",0.762616822429907,0.81619937694704,0.682242990654206,0.800215448219641
"dtree_final_metrics",0.842990654205607,0.903426791277259,0.752336448598131,0.911302297143857
"dtree_cv_metrics",0.842990654205607,0.903426791277259,0.752336448598131,0.911302297143857
"dtree_repeated_cv_metrics",0.818691588785047,0.881619937694704,0.724299065420561,0.904489475063326
"dtree_boot_metrics",0.818691588785047,0.881619937694704,0.724299065420561,0.904489475063326
"rf_metrics",0.831775700934579,0.91588785046729,0.705607476635514,0.917598334643492
"rf_final_metrics",0.831775700934579,0.919003115264797,0.700934579439252,0.914948903834396
"rf_cv_metrics",0.839252336448598,0.931464174454829,0.700934579439252,0.918304364282178
"rf_repeated_cv_metrics",0.829906542056075,0.91588785046729,0.700934579439252,0.919599965062451
"rf_boot_metrics",0.829906542056075,0.925233644859813,0.686915887850467,0.917532826738871
"knn_metrics",0.792523364485981,0.912772585669782,0.61214953271028,0.663456779340263
"knn_cv_metrics",0.803738317757009,0.91588785046729,0.635514018691589,0.89163536844557
"knn_repeated_cv_metrics",0.803738317757009,0.925233644859813,0.621495327102804,0.892552479110257
"knn_boot_metrics",0.803738317757009,0.925233644859813,0.621495327102804,0.892552479110257
