"","Accuracy","Sensitivity","Specificity","AUC"
"dtree_metrics",0.816822429906542,0.847352024922118,0.771028037383178,0.845386787783504
"dtree_final_metrics",0.82803738317757,0.878504672897196,0.752336448598131,0.918173348472939
"dtree_cv_metrics",0.831775700934579,0.900311526479751,0.728971962616822,0.907975951320348
"dtree_repeated_cv_metrics",0.82803738317757,0.875389408099688,0.757009345794392,0.921041138964102
"dtree_boot_metrics",0.82803738317757,0.875389408099688,0.757009345794392,0.921041138964102
"rf_metrics",0.844859813084112,0.900311526479751,0.761682242990654,0.923282965033337
"rf_final_metrics",0.841121495327103,0.894080996884735,0.761682242990654,0.921288613270446
"rf_cv_metrics",0.837383177570094,0.890965732087227,0.757009345794392,0.923821585582438
"rf_repeated_cv_metrics",0.841121495327103,0.890965732087227,0.766355140186916,0.924454828660437
"rf_boot_metrics",0.837383177570094,0.890965732087227,0.757009345794392,0.920699042128862
"knn_metrics",0.803738317757009,0.897196261682243,0.663551401869159,0.716190642559758
"knn_cv_metrics",0.826168224299065,0.922118380062305,0.682242990654206,0.907502838675867
"knn_repeated_cv_metrics",0.826168224299065,0.919003115264797,0.686915887850467,0.908543686493726
"knn_boot_metrics",0.826168224299065,0.919003115264797,0.686915887850467,0.908543686493726
