"winner","kd_rnd_1","sig_str_rnd_1","sig_str_attempt_rnd_1","tot_str_rnd_1","tot_str_attempt_rnd_1","td_rnd_1","td_attempt_rnd_1","sub_attempt_rnd_1","ctrl_time_rnd_1","kd_rnd_2","sig_str_rnd_2","sig_str_attempt_rnd_2","tot_str_rnd_2","tot_str_attempt_rnd_2","td_rnd_2","td_attempt_rnd_2","sub_attempt_rnd_2","ctrl_time_rnd_2","kd_rnd_3","sig_str_rnd_3","sig_str_attempt_rnd_3","tot_str_rnd_3","tot_str_attempt_rnd_3","td_rnd_3","td_attempt_rnd_3","sub_attempt_rnd_3","ctrl_time_rnd_3","sig_str_head_rnd_1","sig_str_head_attempt_rnd_1","sig_str_body_rnd_1","sig_str_body_attempt_rnd_1","sig_str_leg_rnd_1","sig_str_leg_attempt_rnd_1","sig_str_dist_rnd_1","sig_str_dist_attempt_rnd_1","sig_str_clinch_rnd_1","sig_str_clinch_attempt_rnd_1","sig_str_gnd_rnd_1","sig_str_gnd_attempt_rnd_1","sig_str_head_rnd_2","sig_str_head_attempt_rnd_2","sig_str_body_rnd_2","sig_str_body_attempt_rnd_2","sig_str_leg_rnd_2","sig_str_leg_attempt_rnd_2","sig_str_dist_rnd_2","sig_str_dist_attempt_rnd_2","sig_str_clinch_rnd_2","sig_str_clinch_attempt_rnd_2","sig_str_gnd_rnd_2","sig_str_gnd_attempt_rnd_2","sig_str_head_rnd_3","sig_str_head_attempt_rnd_3","sig_str_body_rnd_3","sig_str_body_attempt_rnd_3","sig_str_leg_rnd_3","sig_str_leg_attempt_rnd_3","sig_str_dist_rnd_3","sig_str_dist_attempt_rnd_3","sig_str_clinch_rnd_3","sig_str_clinch_attempt_rnd_3","sig_str_gnd_rnd_3","sig_str_gnd_attempt_rnd_3"
"red",1,11,24,12,25,0,0,0,83,0,6,31,5,30,0,-1,0,0,0,8,31,7,29,0,0,0,-8,15,30,-4,-6,0,0,3,11,1,1,7,12,9,32,-3,-1,0,0,6,31,0,0,0,0,11,32,-3,-1,0,0,9,32,-1,-1,0,0
"red",0,-5,-5,-5,-6,-1,-3,0,-59,0,-17,-10,-14,-7,-2,-2,0,-60,0,12,23,28,39,-1,-3,0,-58,-1,-2,-8,-11,4,8,-2,-2,-3,-3,0,0,-8,4,-8,-13,-1,-1,-12,-4,-2,-2,-3,-4,2,14,9,9,1,0,10,24,2,-1,0,0
"red",0,13,23,13,23,0,0,0,-5,0,14,10,11,7,0,-2,0,-81,0,27,28,16,17,0,-3,0,-80,4,9,7,11,2,3,13,21,0,2,0,0,9,4,2,4,3,2,17,15,-3,-5,0,0,24,21,3,7,0,0,27,27,0,1,0,0
"blue",-1,-13,-13,-18,-18,-1,-1,0,144,0,13,-6,13,-6,0,-1,0,0,0,-11,-15,-11,-16,0,0,0,198,-4,-4,-6,-6,-3,-3,0,1,-6,-6,-7,-8,10,-5,3,0,0,-1,13,-6,0,0,0,0,-4,-6,-3,-5,-4,-4,-7,-11,-4,-4,0,0
"blue",0,-6,-5,-15,-15,-2,-3,0,-103,0,3,0,11,11,-1,-3,0,-147,0,14,20,24,31,-1,-1,0,-162,-1,1,2,2,-7,-8,-6,-5,0,0,0,0,5,2,-1,-1,-1,-1,2,-1,1,1,0,0,7,10,7,10,0,0,4,6,4,5,6,9
"red",-1,-12,-26,-22,-37,1,4,0,27,0,-3,-2,49,73,1,2,1,288,0,-1,-6,22,28,1,2,0,256,-24,-40,0,-1,12,15,-9,-22,0,0,-3,-4,-2,-1,0,0,-1,-1,-3,-2,0,0,0,0,-3,-7,0,-1,2,2,-2,-7,0,0,1,1
"blue",0,5,9,5,9,0,0,0,0,0,-4,11,-4,12,0,1,0,10,0,-3,-2,-3,-2,0,0,0,0,-10,-10,10,12,5,7,5,9,0,0,0,0,-2,-4,-1,13,-1,2,-4,10,0,1,0,0,-14,-16,17,21,-6,-7,-3,-2,0,0,0,0
"red",0,-2,0,36,46,2,6,1,191,0,1,-3,54,54,1,1,2,276,0,0,-8,-15,-23,1,3,0,112,0,2,-2,-2,0,0,-1,1,-1,-1,0,0,1,-3,0,0,0,0,-1,-5,0,0,2,2,3,-3,-3,-5,0,0,3,-5,-3,-3,0,0
"red",0,0,-20,4,-15,2,1,0,134,0,-6,-5,-2,0,-1,0,0,10,0,-6,-11,-3,-4,3,4,0,145,1,-15,2,-2,-3,-3,0,-18,0,-2,0,0,1,1,-5,-4,-2,-2,-6,-6,0,-1,0,2,-2,-6,-6,-7,2,2,-8,-14,1,0,1,3
"blue",0,-6,-4,1,7,0,-3,0,-67,0,-4,-5,-10,-18,-2,-4,0,-248,0,2,3,17,38,-2,-3,-1,36,-5,-11,-2,5,1,2,-6,-4,0,0,0,0,-3,-5,0,1,-1,-1,0,1,-1,0,-3,-6,2,3,0,0,0,0,0,2,0,-1,2,2
"red",0,1,-8,6,-2,3,4,0,180,0,6,-1,5,-2,0,3,0,-15,0,-12,0,-9,1,1,0,0,97,-3,-11,-1,-2,5,5,-1,-8,2,1,0,-1,1,-5,-1,-2,6,6,5,-2,1,1,0,0,-3,10,-5,-6,-4,-4,-12,0,0,0,0,0
