"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
26,29,59,83,29,29,78,0,35,35,96,0,21,21,28
21,24,43,21,32,38,81,0,55,72,119,0,4,20,31
37,39,89,0,37,46,89,0,60,61,105,0,25,26,51
6,13,19,187,30,30,50,0,8,23,30,198,6,22,6
4,4,15,0,8,29,43,14,17,38,49,39,2,7,10
21,23,37,84,1,59,85,288,5,70,96,264,4,0,3
29,29,74,0,27,27,93,10,42,42,107,0,5,19,16
6,45,59,215,3,56,60,280,7,10,13,160,3,2,4
13,20,32,134,11,15,40,58,11,20,45,145,7,6,8
7,21,42,41,5,15,22,0,3,36,61,132,4,2,2
14,29,44,180,38,38,73,16,8,13,41,143,5,26,8
5,10,27,9,9,48,64,173,3,53,99,263,1,8,2
11,16,45,111,23,24,67,16,26,27,58,0,5,20,15
29,53,91,0,23,30,72,0,37,41,94,0,19,14,28
54,68,96,51,82,85,117,35,57,79,116,60,37,55,41
40,41,78,0,38,51,73,69,38,41,54,28,27,29,27
48,48,105,0,57,57,119,0,48,48,97,0,29,43,38
21,23,38,5,31,31,43,5,23,23,45,0,4,13,9
24,24,52,1,28,28,48,0,41,70,97,160,10,11,14
20,31,49,98,22,23,44,6,33,35,60,16,15,14,24
27,27,41,45,13,23,36,54,26,26,41,6,18,8,17
8,36,50,5,26,33,90,35,54,55,133,3,5,18,36
15,15,66,0,21,21,72,0,32,35,89,0,9,14,26
25,25,54,0,31,111,174,265,15,16,37,68,12,30,12
30,31,54,18,94,106,173,27,25,30,52,75,11,76,9
5,5,19,189,4,26,33,247,9,31,35,288,3,4,9
16,39,44,254,7,30,38,248,1,2,3,4,9,3,0
3,19,25,213,9,21,28,204,6,14,21,283,2,5,2
11,11,20,0,15,16,31,68,10,34,50,217,4,9,7
30,41,80,154,33,45,65,169,24,30,46,218,22,23,20
21,29,61,82,29,44,64,140,12,30,62,176,11,21,10
10,13,21,33,18,26,43,85,19,19,44,39,2,9,12
3,24,29,103,2,17,21,91,6,10,21,17,1,1,5
23,25,49,0,29,29,61,0,40,40,81,0,11,21,33
26,26,51,0,28,28,67,0,29,30,55,0,9,17,23
29,30,102,30,27,36,93,76,35,46,96,139,13,16,18
4,5,23,26,7,12,22,82,23,25,57,50,0,4,13
7,23,26,241,10,11,24,81,6,11,26,135,5,7,4
28,28,60,1,37,37,88,0,50,52,89,5,17,25,39
24,26,64,94,29,31,105,18,17,48,86,36,10,19,10
17,19,29,78,39,41,70,4,40,55,66,8,3,25,29
22,30,70,0,8,27,46,6,4,59,65,72,8,5,4
7,15,26,0,19,29,45,163,39,39,60,31,3,9,19
13,21,35,69,14,18,42,51,14,16,29,126,6,4,3
10,35,35,238,3,7,8,125,25,28,59,0,10,2,19
18,24,49,0,18,32,59,0,26,29,63,0,4,4,10
19,27,56,114,8,43,73,80,5,43,61,185,10,5,3
26,30,67,36,29,59,86,177,18,88,108,211,6,13,7
6,19,38,77,4,14,28,90,8,10,58,15,3,4,6
10,16,32,21,1,5,10,5,17,38,48,89,6,0,16
47,53,79,128,11,24,38,204,6,15,21,196,42,11,6
17,44,83,124,35,36,75,21,35,36,75,121,7,10,10
17,22,44,0,15,15,46,0,17,22,66,2,6,5,8
12,21,30,204,10,21,32,55,28,43,82,75,3,7,16
8,27,34,156,7,21,30,247,10,43,53,200,4,5,9
41,73,120,175,41,63,100,217,38,62,98,191,29,36,29
10,10,30,14,11,11,35,11,23,26,54,98,8,5,19
37,39,86,5,29,29,76,0,24,28,57,61,32,26,23
21,23,53,32,51,51,101,15,55,56,121,0,17,43,50
16,24,36,173,33,36,61,37,43,44,71,58,10,19,30
10,10,33,31,32,32,82,1,43,45,104,0,7,19,34
13,31,65,119,23,23,51,33,20,20,65,62,7,20,12
8,42,55,58,26,32,50,8,34,40,64,48,8,17,30
17,25,38,198,38,41,57,0,38,55,70,61,14,29,32
19,21,35,14,24,24,51,0,36,43,83,53,8,8,19
15,15,50,0,26,26,72,0,31,31,90,0,7,10,13
21,30,69,117,57,58,107,5,71,71,118,17,14,48,54
21,27,61,13,27,34,70,8,23,35,56,128,4,11,13
24,24,56,0,33,33,81,12,16,17,48,79,16,20,9
13,68,89,290,4,53,64,188,11,115,126,291,11,4,9
25,25,60,0,42,42,95,0,47,47,68,0,13,32,29
43,51,102,2,51,55,104,0,50,60,116,14,20,29,31
31,31,68,14,34,38,82,6,51,52,113,0,18,19,29
32,32,48,0,45,45,94,0,66,66,121,0,15,30,48
27,30,57,14,18,22,52,15,31,32,95,11,14,10,22
23,23,37,0,42,42,58,5,28,29,46,43,15,35,25
5,38,52,0,12,32,57,31,33,44,69,16,5,12,33
42,57,90,1,32,46,77,2,26,73,101,0,21,20,19
9,9,31,6,15,15,47,0,17,29,44,29,2,9,14
28,29,57,2,35,35,67,0,25,25,62,0,9,21,16
14,20,42,38,9,12,40,1,14,23,69,40,13,6,13
45,61,86,61,13,15,32,97,16,19,37,24,41,9,12
18,18,64,0,15,28,61,81,14,36,66,0,5,7,9
28,28,57,21,18,18,39,0,20,20,53,0,18,12,16
48,55,83,6,29,30,58,0,40,41,81,0,23,16,29
3,23,41,0,12,19,42,0,18,24,75,0,1,3,5
6,16,19,166,20,20,34,15,2,16,17,74,4,10,2
8,29,36,210,10,27,35,32,11,45,55,191,6,2,9
13,13,42,0,28,28,68,0,22,25,69,0,3,17,15
10,26,50,47,19,32,53,50,47,62,126,35,1,8,31
34,35,98,0,34,36,87,4,30,31,84,0,18,26,27
11,11,43,65,17,19,58,37,20,20,67,0,8,13,16
12,12,26,16,35,47,73,67,22,22,45,0,6,29,15
15,38,49,187,29,35,55,105,9,21,30,191,6,12,2
35,36,121,27,3,57,78,81,13,21,59,109,22,1,10
32,34,80,4,45,48,102,40,26,27,45,175,19,27,22
25,27,61,97,10,16,29,51,24,55,72,63,11,5,17
30,31,53,27,43,46,70,60,32,35,49,228,11,25,26
39,44,71,0,32,37,46,0,31,37,49,0,29,15,24
26,44,104,81,29,34,85,30,36,36,97,2,12,13,19
29,35,68,8,28,37,54,142,22,28,64,113,12,17,14
2,4,7,150,7,7,19,46,12,12,29,58,2,7,12
32,37,76,16,21,21,52,27,20,20,45,22,24,14,14
5,26,33,71,12,33,47,183,27,53,68,245,2,8,26
29,40,69,39,16,43,54,255,35,38,72,0,25,14,27
11,69,74,216,14,91,109,274,17,33,83,45,10,14,13
49,49,82,5,37,37,83,0,38,38,84,0,38,29,32
13,17,28,75,11,35,45,41,7,46,59,59,9,8,4
14,14,42,0,18,18,61,0,7,11,22,0,9,11,4
