"winner","red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3","blue_sig_str_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","blue_ctrl_time_rnd_1","blue_sig_str_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","blue_ctrl_time_rnd_2","blue_sig_str_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","blue_ctrl_time_rnd_3","blue_sig_str_head_rnd_1","blue_sig_str_head_rnd_2","blue_sig_str_head_rnd_3"
"red",26,29,59,83,29,29,78,0,35,35,96,0,21,21,28,15,17,34,0,23,24,48,0,27,28,67,8,6,12,17
"red",21,24,43,21,32,38,81,0,55,72,119,0,4,20,31,26,29,49,80,49,52,88,60,43,44,80,58,5,28,29
"red",37,39,89,0,37,46,89,0,60,61,105,0,25,26,51,24,26,66,5,23,35,82,81,33,45,88,80,21,17,27
"blue",6,13,19,187,30,30,50,0,8,23,30,198,6,22,6,19,31,37,43,17,17,56,0,19,34,46,0,10,12,10
"blue",4,4,15,0,8,29,43,14,17,38,49,39,2,7,10,10,19,30,103,5,18,32,161,3,14,18,201,3,2,3
"red",21,23,37,84,1,59,85,288,5,70,96,264,4,0,3,33,45,74,57,4,10,12,0,6,48,68,8,28,2,6
"blue",29,29,74,0,27,27,93,10,42,42,107,0,5,19,16,24,24,65,0,31,31,81,0,45,45,109,0,15,21,30
"red",6,45,59,215,3,56,60,280,7,10,13,160,3,2,4,8,9,13,24,2,2,6,4,7,25,36,48,3,1,1
"red",13,20,32,134,11,15,40,58,11,20,45,145,7,6,8,13,16,47,0,17,17,40,48,17,23,49,0,6,5,10
"blue",7,21,42,41,5,15,22,0,3,36,61,132,4,2,2,13,20,35,108,9,25,40,248,1,19,23,96,9,5,0
"red",14,29,44,180,38,38,73,16,8,13,41,143,5,26,8,13,23,46,0,32,33,75,31,20,22,40,46,8,25,11
"red",5,10,27,9,9,48,64,173,3,53,99,263,1,8,2,19,22,34,82,12,15,24,23,4,12,18,0,7,6,3
"red",11,16,45,111,23,24,67,16,26,27,58,0,5,20,15,11,22,39,0,19,20,51,4,23,23,57,15,3,9,11
"red",29,53,91,0,23,30,72,0,37,41,94,0,19,14,28,9,13,54,31,8,26,67,44,17,18,63,18,8,7,14
"red",54,68,96,51,82,85,117,35,57,79,116,60,37,55,41,63,81,150,19,54,57,133,32,47,58,100,78,49,43,37
"red",40,41,78,0,38,51,73,69,38,41,54,28,27,29,27,49,50,100,3,24,24,69,0,30,30,77,0,35,11,18
"red",48,48,105,0,57,57,119,0,48,48,97,0,29,43,38,25,25,56,0,25,26,69,0,27,27,65,0,10,13,20
"red",21,23,38,5,31,31,43,5,23,23,45,0,4,13,9,11,12,25,40,16,16,37,0,19,19,42,5,5,12,10
"blue",24,24,52,1,28,28,48,0,41,70,97,160,10,11,14,34,34,75,8,26,31,78,17,19,24,55,1,23,21,17
"red",20,31,49,98,22,23,44,6,33,35,60,16,15,14,24,9,14,41,25,28,35,70,49,21,24,46,47,5,19,15
"red",27,27,41,45,13,23,36,54,26,26,41,6,18,8,17,16,22,42,0,19,21,38,0,13,13,32,0,9,6,8
"red",8,36,50,5,26,33,90,35,54,55,133,3,5,18,36,12,79,90,186,12,14,64,0,26,26,70,0,12,9,25
"blue",15,15,66,0,21,21,72,0,32,35,89,0,9,14,26,19,19,43,0,31,31,68,26,27,28,74,29,19,27,27
"red",25,25,54,0,31,111,174,265,15,16,37,68,12,30,12,12,13,46,0,7,16,23,2,23,25,42,23,7,5,18
"red",30,31,54,18,94,106,173,27,25,30,52,75,11,76,9,19,21,47,58,28,37,76,25,20,22,39,32,7,22,11
"red",5,5,19,189,4,26,33,247,9,31,35,288,3,4,9,10,11,18,16,12,32,35,0,3,31,33,0,3,8,2
"blue",16,39,44,254,7,30,38,248,1,2,3,4,9,3,0,4,9,11,0,1,13,19,3,23,66,74,267,1,0,18
"red",3,19,25,213,9,21,28,204,6,14,21,283,2,5,2,9,24,34,50,11,19,27,48,10,29,33,0,7,4,8
"red",11,11,20,0,15,16,31,68,10,34,50,217,4,9,7,14,14,51,0,8,13,55,11,9,14,39,0,6,8,6
"red",30,41,80,154,33,45,65,169,24,30,46,218,22,23,20,30,41,72,9,35,42,67,0,25,38,47,2,24,32,24
"red",21,29,61,82,29,44,64,140,12,30,62,176,11,21,10,28,34,87,0,19,25,56,1,19,31,64,0,14,8,12
"red",10,13,21,33,18,26,43,85,19,19,44,39,2,9,12,4,7,10,180,11,18,28,73,10,18,42,73,2,6,6
"blue",3,24,29,103,2,17,21,91,6,10,21,17,1,1,5,21,40,61,130,12,50,62,180,32,69,84,217,15,10,30
"red",23,25,49,0,29,29,61,0,40,40,81,0,11,21,33,19,22,49,90,27,27,63,0,17,17,51,0,7,11,7
"red",26,26,51,0,28,28,67,0,29,30,55,0,9,17,23,12,12,33,0,30,30,74,5,31,31,65,77,3,25,25
"red",29,30,102,30,27,36,93,76,35,46,96,139,13,16,18,17,20,43,3,18,56,83,1,13,16,30,0,0,7,6
"red",4,5,23,26,7,12,22,82,23,25,57,50,0,4,13,7,11,24,64,13,25,33,60,20,31,55,53,6,10,16
"blue",7,23,26,241,10,11,24,81,6,11,26,135,5,7,4,6,14,19,14,25,42,68,3,22,30,54,35,2,12,10
"red",28,28,60,1,37,37,88,0,50,52,89,5,17,25,39,25,26,52,18,30,30,47,0,26,31,63,26,4,7,8
"blue",24,26,64,94,29,31,105,18,17,48,86,36,10,19,10,19,23,33,0,31,31,56,0,14,74,87,128,9,12,7
"red",17,19,29,78,39,41,70,4,40,55,66,8,3,25,29,11,21,52,66,20,20,69,37,10,29,57,136,4,11,8
"blue",22,30,70,0,8,27,46,6,4,59,65,72,8,5,4,19,24,53,161,19,26,45,245,3,3,3,218,15,15,3
"blue",7,15,26,0,19,29,45,163,39,39,60,31,3,9,19,16,34,42,228,14,21,34,0,34,53,91,62,9,6,22
"blue",13,21,35,69,14,18,42,51,14,16,29,126,6,4,3,8,12,26,6,17,19,34,2,16,25,55,36,2,9,12
"blue",10,35,35,238,3,7,8,125,25,28,59,0,10,2,19,1,6,6,45,16,40,44,158,34,37,72,44,0,15,17
"blue",18,24,49,0,18,32,59,0,26,29,63,0,4,4,10,30,37,58,32,48,56,79,100,47,52,82,38,12,30,28
"red",19,27,56,114,8,43,73,80,5,43,61,185,10,5,3,6,13,35,0,10,23,46,0,2,10,18,0,5,10,2
"red",26,30,67,36,29,59,86,177,18,88,108,211,6,13,7,7,7,21,0,11,19,35,3,9,9,21,0,6,7,4
